official_id,location_name,latitude,longitude,sales_device_id,sensor_machine_id,perishable_store_id
VM_001,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,1,STORE_001
VM_002,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,2,STORE_002
VM_003,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,3,STORE_003
VM_004,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,4,STORE_004
VM_005,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,5,STORE_005
VM_006,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,6,STORE_006
VM_007,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,7,STORE_007
VM_008,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,8,STORE_008
VM_009,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,9,STORE_009
VM_010,Brunswick Sq Mall,40.50624027716083,-74.38483126763923,VJ300320611,10,STORE_010
VM_011,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,11,STORE_011
VM_012,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,12,STORE_012
VM_013,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,13,STORE_013
VM_014,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,14,STORE_014
VM_015,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,15,STORE_015
VM_016,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,16,STORE_016
VM_017,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,17,STORE_017
VM_018,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,18,STORE_018
VM_019,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,19,STORE_019
VM_020,Earle Asphalt,40.17946252732867,-74.10898016488436,VJ300320686,20,STORE_020
VM_021,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,21,STORE_021
VM_022,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,22,STORE_022
VM_023,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,23,STORE_023
VM_024,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,24,STORE_024
VM_025,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,25,STORE_025
VM_026,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,26,STORE_026
VM_027,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,27,STORE_027
VM_028,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,28,STORE_028
VM_029,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,29,STORE_029
VM_030,GuttenPlans,40.464480736534945,-74.13392450835369,VJ300320609,30,STORE_030
VM_031,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,31,STORE_031
VM_032,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,32,STORE_032
VM_033,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,33,STORE_033
VM_034,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,34,STORE_034
VM_035,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,35,STORE_035
VM_036,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,36,STORE_036
VM_037,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,37,STORE_037
VM_038,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,38,STORE_038
VM_039,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,39,STORE_039
VM_040,EB Public Library,40.60088764525522,-74.44251218728009,VJ300320692,40,STORE_040
VM_041,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,41,STORE_041
VM_042,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,42,STORE_042
VM_043,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,43,STORE_043
VM_044,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,44,STORE_044
VM_045,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,45,STORE_045
VM_046,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,46,STORE_046
VM_047,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,47,STORE_047
VM_048,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,48,STORE_048
VM_049,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,49,STORE_049
VM_050,New Brunswick Train Station,40.5508115893351,-74.44045667148427,VJ300205292,50,STORE_050
